DATE,STATION,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES
2022-06-01,USC00362574,89.06,",,H,0600",62.96,",,H,0600",69.98,",,H,0600"
2022-06-03,USC00362574,71.96,",,H,0600",51.98,",,H,0600",51.98,",,H,0600"
2022-06-04,USC00362574,77.0,",,H,0600",51.98,",,H,0600",55.94,",,H,0600"
2022-06-05,USC00362574,75.92,",,H,0600",53.06,",,H,0600",53.96,",,H,0600"
2022-06-06,USC00362574,80.96,",,H,0600",53.06,",,H,0600",53.96,",,H,0600"
2022-06-07,USC00362574,78.08,",,H,0600",53.96,",,H,0600",53.96,",,H,0600"
2022-06-08,USC00362574,69.98,",,H,0600",53.06,",,H,0600",53.06,",,H,0600"
2022-06-09,USC00362574,78.98,",,H,0600",53.06,",,H,0600",60.08,",,H,0600"
2022-06-10,USC00362574,69.08,",,H,0600",55.04,",,H,0600",55.94,",,H,0600"
2022-06-11,USC00362574,77.0,",,H,0600",55.94,",,H,0600",59.0,",,H,0600"
2022-06-12,USC00362574,68.0,",,H,0600",59.0,",,H,0600",62.06,",,H,0600"
2022-06-13,USC00362574,78.08,",,H,0600",62.06,",,H,0600",68.0,",,H,0600"
2022-06-15,USC00362574,80.06,",,H,0600",69.08,",,H,0600",69.08,",,H,0600"
2022-06-16,USC00362574,91.94,",,H,0600",69.08,",,H,0600",80.96,",,H,0600"
2022-06-17,USC00362574,91.94,",,H,0600",71.06,",,H,0600",73.94,",,H,0600"
2022-06-18,USC00362574,86.0,",,H,0600",57.92,",,H,0600",57.92,",,H,0600"
2022-06-19,USC00362574,71.06,",,H,0600",46.04,",,H,0600",46.04,",,H,0600"
2022-06-20,USC00362574,71.96,",,H,0600",46.04,",,H,0600",64.94,",,H,0600"
2022-06-21,USC00362574,69.98,",,H,0600",59.0,",,H,0600",62.06,",,H,0600"
2022-06-22,USC00362574,93.02,",,H,0600",60.98,",,H,0600",75.02,",,H,0600"
2022-06-23,USC00362574,93.92,",,H,0600",62.96,",,H,0600",62.96,",,H,0600"
2022-06-24,USC00362574,89.96,",,H,0600",57.92,",,H,0600",57.92,",,H,0600"
2022-06-25,USC00362574,86.0,",,H,0600",57.92,",,H,0600",60.98,",,H,0600"
2022-06-26,USC00362574,84.92,",,H,0600",60.98,",,H,0600",71.06,",,H,0600"
2022-06-27,USC00362574,84.02,",,H,0600",62.96,",,H,0600",62.96,",,H,0600"
2022-06-28,USC00362574,78.08,",,H,0600",51.98,",,H,0600",53.06,",,H,0600"
2022-06-29,USC00362574,80.06,",,H,0600",53.06,",,H,0600",55.04,",,H,0600"
2022-06-30,USC00362574,84.92,",,H,0600",55.04,",,H,0600",59.0,",,H,0600"
